s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,
0,16,16,2.49975,0,0.000465359102236107,0.000465359102236107,1E-06,-2.01201191314292,0,2.21,2.138,
36,16.0000000000002,16.0000000000002,2.49974842320123,1.20922758584961E-10,0.000465371500467882,0.000465359102236107,0,-2.01294746499372,0,2.21,2.138,
72,16.0000000000002,16.0000000000002,2.49974842320123,1.20920297935286E-10,0.000465371500467882,0.000465359102236107,0,-2.01294746499372,0,2.21,2.138,
108,167.452167336992,19.17843527417,1.58667512884082,-0.127564741413182,0.537897050380707,0.000460296199889854,264,0.173350915220594,0,2.21,2.138,
144,289.696773239521,30.8910941788623,1.50451451270102,-0.602348036872007,1.12031197547913,0.000442553253378719,552,0.923643737336339,0,2.21,2.138,
180,376.151683042745,48.6973427535565,1.49768856787028,-1.16548364890774,1.55035006999969,0.000418055191403255,840,1.46065070009519,0,2.21,2.138,
216,448.538559548979,68.6224690962308,1.4871793209653,-1.70580427970948,1.84589755535126,0.000393670023186132,1128,1.89538501757758,0,2.21,2.138,
252,518.000789270106,85.6004605526722,1.47108528743289,-2.10742663000353,2.10282349586487,0.000375030154827982,1416,2.26753934964442,0,2.21,2.138,
288,588.053673723359,106.840218302815,1.45809269496965,-2.53875018361996,2.3468005657196,0.000354057876393199,1704,2.5965724797162,0,2.21,2.138,
324,658.179807251178,134.80484796242,1.44821811725386,-3.02152682562966,2.57889294624329,0.000329777278238907,1978.90387152488,2.88075703541675,0,2.21,2.138,
360,712.917173465865,160.932240593991,1.43799219548046,-3.41763991084252,2.833899974823,0.000309919938445091,2045.7102619263,2.94618274747875,0,2.21,2.138,
396,750.497093124409,176.972477757197,1.42390979574302,-3.65562547450349,3.14879846572876,0.000298871455015615,2093.82683958258,2.99251451860569,0,2.21,2.138,
432,779.275179686765,189.431300150352,1.41111154252813,-3.76486767392233,3.50696897506714,0.000290818948997185,2136.94462299691,3.03349317885638,0,2.21,2.138,
468,803.266027167339,205.976225158752,1.40610275643494,-3.9543464767228,3.72230362892151,0.000280772888800129,2159.43669671666,3.05467267196674,0,2.21,2.138,
504,823.302744152843,220.601254980644,1.40863010492523,-4.11077051698314,3.64419317245483,0.000272453355137259,2165.90957394447,3.06074326120527,0,2.21,2.138,
540,840.85112629483,233.711312319013,1.41063167529087,-4.24163002221514,3.57325673103333,0.00026540391263552,2171.04136053147,3.06554837669489,0,2.21,2.138,
576,856.51766633322,245.645553405196,1.4122619760405,-4.35366103974343,3.51287770271301,0.000259296561125666,2175.22484535805,3.06946051607896,0,2.21,2.138,
612,870.660007004548,256.617312314519,1.4136202230837,-4.45116031623714,3.46068906784058,0.000253924634307623,2178.71267767576,3.07271867435163,0,2.21,2.138,
648,881.464485655793,266.207553419228,1.4149381356294,-4.53361161790306,3.41973829269409,0.000249408185482025,2182.09907164185,3.07587908103149,0,2.21,2.138,
684,891.924555792511,274.72163989693,1.41582647526792,-4.60272492192942,3.38355660438538,0.00024553106050007,2184.38285905558,3.07800880120538,0,2.21,2.138,
720,902.356532815492,276.599558978544,1.41465007784754,-4.65726633468548,3.35685873031616,0.000244691997068003,2181.35872365325,3.07518839084417,0,2.21,2.138,
756,911.63258037372,278.041300645911,1.41403677334574,-4.63649372101054,3.33635687828064,0.000244051843765192,2179.78278177058,3.07371768455147,0,2.21,2.138,
792,920.789682061873,277.304884826006,1.41264622044455,-4.62711228986888,3.3173360824585,0.000244378432398662,2176.21131692716,3.07038234612139,0,2.21,2.138,
828,929.025324353664,281.757726784377,1.41300644718073,-4.64715394320411,3.29527306556702,0.000242416863329709,2177.13629035976,3.07124648014579,0,2.21,2.138,
864,936.806608274723,287.819753331697,1.41353380510407,-4.69290452237889,3.27097105979919,0.000239796383539215,2178.49069901946,3.07251140629738,0,2.21,2.138,
900,944.103491400164,293.570899681466,1.41401167369262,-4.73522427931198,3.24849224090576,0.000237362182815559,2179.71829562868,3.0736574909717,0,2.21,2.138,
936,950.947364768345,299.020600457689,1.41444504513886,-4.77434791559883,3.22777533531189,0.000235100698773749,2180.83182270552,3.07469674536232,0,2.21,2.138,
972,957.374780031825,304.188682205057,1.41483932195868,-4.81059536004365,3.20859241485596,0.000232995545957237,2181.84509563841,3.07564215595758,0,2.21,2.138,
1008,963.421401768326,309.09574446606,1.41519940336703,-4.84426902602459,3.19079661369324,0.000231031313887797,2182.77065244946,3.07650549489014,0,2.21,2.138,
1044,969.120715818139,313.761407697104,1.41552927071493,-4.87562747290297,3.17425036430359,0.000229194207349792,2183.61868454329,3.07729632767912,0,2.21,2.138,
1080,973.132666209617,317.261520720275,1.42527397366986,-4.9128035990247,2.9524233341217,0.000227835058467463,2158.5141241296,3.05380654854055,0,2.21,2.138,
1116,975.205165532678,319.443462693654,1.43838883437308,-4.94227391282616,2.63806581497192,0.000226995878620073,2127.21859213697,3.02429331153511,0,2.21,2.138,
1152,975.948378066048,320.576460598052,1.45242101789804,-4.96560875713144,2.34095335006714,0.000226562537136488,2092.12917734149,2.99089076415201,0,2.21,2.138,
1188,970.798012157665,322.375177213781,1.46847896024577,-4.99594911442992,2.06714534759521,0.000225878015044145,2054.65520314697,2.95484498588681,0,2.21,2.138,
1224,956.832865432097,316.30121472995,1.48554334708713,-4.98249402818891,1.81951725482941,0.000228206175961532,1840,2.74034997646008,0,2.21,2.138,
1260,927.101697420018,299.746001199553,1.50336573645149,-4.89286756939356,1.60871863365173,0.000234802675549872,1600,2.48190928401945,0,2.21,2.138,
1296,888.340376969376,278.379915769706,1.52290437072121,-4.75669956382048,1.42052447795868,0.000243901668000035,1360,2.1990046548728,0,2.21,2.138,
1332,843.295873672111,273.943873478751,1.55010043650152,-4.7513892095785,1.24029839038849,0.000245879869908094,1120,1.88427386954026,0,2.21,2.138,
1368,791.522575234596,248.406369027536,1.57618172419737,-4.56641028343837,1.07596182823181,0.000257923064054921,880,1.5258925644532,0,2.21,2.138,
1404,736.075915369429,222.709211375639,1.60814801496806,-4.34297345656665,0.906433463096619,0.000271294178673998,640,1.10263931130587,0,2.21,2.138,
1440,672.960290336096,196.710568377428,1.65069774296882,-4.08593268394391,0.7144415974617,0.000286311144009233,400,0.568669811775656,0,2.21,2.138,
1476,600.023955636884,176.922278356087,1.72400430224983,-3.84809202255245,0.471701323986053,0.000298904225928709,160,-0.223512762600795,0,2.21,2.138,
1512,570.562822707612,164.727925794141,1.99184745478907,-3.7969663283757,0.262537688016891,0.000307231355691329,0,-2.01294746499372,0,2.21,2.138,
1548,542.066961305238,155.332981826727,2.01538985881247,-3.65214589656189,0.271716773509979,0.000313970551360399,0,-2.01294746499372,0,2.21,2.138,
1584,517.594147542706,146.109974605156,2.03158557239048,-3.49620318680765,0.280128210783005,0.000320880295475945,0,-2.01294746499372,0,2.21,2.138,
1620,496.589543128268,138.623418530111,2.04544021614473,-3.36358560441787,0.287774175405502,0.00032671689405106,0,-2.01294746499372,0,2.21,2.138,
1656,478.332845639276,132.362073643476,2.05744709145035,-3.24838386705261,0.294767111539841,0.000331763818394393,0,-2.01294746499372,0,2.21,2.138,
1692,462.101811087372,126.985516986073,2.06787927659066,-3.14609171408818,0.301275908946991,0.000336223689373583,0,-2.01294746499372,0,2.21,2.138,
1728,447.583478063655,122.287311372156,2.07717613294444,-3.05413831119704,0.307346284389496,0.000340220198268071,0,-2.01294746499372,0,2.21,2.138,
1764,434.429208514562,118.125749639319,2.08558491505313,-2.9705484040522,0.313061505556107,0.000343840423738584,0,-2.01294746499372,0,2.21,2.138,
1800,422.12585466648,114.996638804771,2.09343692810194,-2.90611855595002,0.318602710962296,0.000346613640431315,0,-2.01294746499372,0,2.21,2.138,
1836,410.945977613515,111.59305415118,2.10056111240462,-2.83508374006664,0.323810875415802,0.000349681358784437,0,-2.01294746499372,0,2.21,2.138,
1872,400.621610321546,108.464672681521,2.10713080778552,-2.76829443757103,0.328774034976959,0.000352549337549135,0,-2.01294746499372,0,2.21,2.138,
1908,391.027708953506,105.59779899103,2.11322754070116,-2.70594779908515,0.333524376153946,0.000355219177436084,0,-2.01294746499372,0,2.21,2.138,
1944,382.067544588831,102.955698123222,2.11891436636967,-2.64750422872397,0.338086575269699,0.000357715733116493,0,-2.01294746499372,0,2.21,2.138,
1980,373.633902560167,100.50696015135,2.12421194306195,-2.59244140831694,0.34249621629715,0.00036006115260534,0,-2.01294746499372,0,2.21,2.138,
2016,365.751136797903,99.9982452218094,2.12909186675376,-2.57335278221463,0.346722990274429,0.000360552308848128,0,-2.01294746499372,0,2.21,2.138,
2052,358.385855520656,99.3233111986324,2.13364783129592,-2.56415215803987,0.350767642259598,0.000361205922672525,0,-2.01294746499372,0,2.21,2.138,
2088,351.425588381581,97.5021965387993,2.13795017455815,-2.52315386820212,0.354677706956863,0.000362981489161029,0,-2.01294746499372,0,2.21,2.138,
2124,344.805324748643,95.6485029211404,2.14203944224165,-2.48022209860341,0.358478516340256,0.000364806823199615,0,-2.01294746499372,0,2.21,2.138,
2160,338.492213975125,93.8798833524692,2.14593630491039,-2.43873020478706,0.362179607152939,0.000366565596777946,0,-2.01294746499372,0,2.21,2.138,
2196,332.461070982201,92.1994214055427,2.14965665056437,-2.39885895653469,0.365787506103516,0.000368252512998879,0,-2.01294746499372,0,2.21,2.138,
2232,326.690279473071,90.6015861875204,2.15321411784501,-2.36054186398425,0.369307607412338,0.000369870918802917,0,-2.01294746499372,0,2.21,2.138,
2268,321.160568348651,89.0802180206085,2.15662085859148,-2.32368619009386,0.372744798660278,0.000371425179764628,0,-2.01294746499372,0,2.21,2.138,
2304,315.854531990373,87.6294296123188,2.15988783974102,-2.28819779239789,0.376103639602661,0.000372919515939429,0,-2.01294746499372,0,2.21,2.138,
2340,310.756388699871,86.2437894705661,2.16302499723924,-2.25398687372085,0.379388421773911,0.000374358030967414,0,-2.01294746499372,0,2.21,2.138,
2376,305.85181643452,84.9183567674239,2.16604134153374,-2.22096978569717,0.382603079080582,0.000375744479242712,0,-2.01294746499372,0,2.21,2.138,
2412,301.127815089229,83.6486641335188,2.16894504609368,-2.18906961624331,0.385751307010651,0.000377082265913486,0,-2.01294746499372,0,2.21,2.138,
2448,296.572579973025,82.4306817945051,2.17174352850478,-2.15821590311645,0.388836532831192,0.000378374534193426,0,-2.01294746499372,0,2.21,2.138,
2484,292.175383699325,81.2607748902756,2.17444352591919,-2.12834433378184,0.391861885786057,0.000379624194465578,0,-2.01294746499372,0,2.21,2.138,
2520,287.92646689584,80.1356623358312,2.17705116467329,-2.09939625884433,0.394830286502838,0.00038083380786702,0,-2.01294746499372,0,2.21,2.138,
2556,283.816937990355,79.0523772759017,2.17957202397111,-2.0713181047443,0.397744387388229,0.000382005760911852,0,-2.01294746499372,0,2.21,2.138,
2592,279.838682458959,78.0082319449685,2.18201119344621,-2.04406091419082,0.400606691837311,0.000383142207283527,0,-2.01294746499372,0,2.21,2.138,
2628,275.966671970101,77.0003415743718,2.18437089127315,-2.01756083828815,0.403432369232178,0.000384245649911463,0,-2.01294746499372,0,2.21,2.138,
2664,272.00464918686,77.0203784164005,2.18674816488747,-2.02283070277656,0.406365185976028,0.000384223618311808,0,-2.01294746499372,0,2.21,2.138,
2700,268.020397395505,76.9944846343777,2.18913805647749,-2.01427517129471,0.409357845783234,0.000384252110961825,0,-2.01294746499372,0,2.21,2.138,
2736,264.196113008741,76.7931814624522,2.19143125238271,-2.01129422734029,0.412272065877914,0.000384473241865635,0,-2.01294746499372,0,2.21,2.138,
2772,260.641030886213,76.0053988876917,2.19356243564094,-1.99105718092376,0.415018677711487,0.000385341147193685,0,-2.01294746499372,0,2.21,2.138,
2808,257.224732582991,75.1174106264269,2.19560984776511,-1.96747618848102,0.417692750692368,0.000386324187275022,0,-2.01294746499372,0,2.21,2.138,
2844,253.929607804313,74.2442899699595,2.19758409389333,-1.94408909484507,0.420304864645004,0.000387295644031838,0,-2.01294746499372,0,2.21,2.138,
2880,250.734673552088,73.3972616711247,2.19949779548379,-1.92126432248445,0.422868996858597,0.000388242769986391,0,-2.01294746499372,0,2.21,2.138,
2916,247.63382062308,72.5762986188687,2.201354655246,-1.89901469017946,0.425387650728226,0.000389165186788887,0,-2.01294746499372,0,2.21,2.138,
2952,244.620464289721,71.7802846160508,2.20315865590903,-1.87732217485175,0.427864134311676,0.000390063796658069,0,-2.01294746499372,0,2.21,2.138,
2988,241.688958813033,71.0079112914299,2.20491321352013,-1.85616105771751,0.43030121922493,0.000390939618228003,0,-2.01294746499372,0,2.21,2.138,
3024,238.834598709557,70.2579352082539,2.20662117754865,-1.8355063557315,0.432700961828232,0.000391793844755739,0,-2.01294746499372,0,2.21,2.138,
3060,236.053340296112,69.5292097052984,2.20828499826976,-1.81533491259811,0.435065120458603,0.000392627465771511,0,-2.01294746499372,0,2.21,2.138,
3096,233.341625853105,68.8206828476363,2.20990683250318,-1.79562545264385,0.437395215034485,0.000393441383494064,0,-2.01294746499372,0,2.21,2.138,
3132,230.696269346973,68.1313887392719,2.21148861237143,-1.77635842710363,0.439692467451096,0.000394236471038312,0,-2.01294746499372,0,2.21,2.138,
3168,228.114379513488,67.4604379450796,2.21303209161092,-1.75751582073715,0.441957980394363,0.000395013456000015,0,-2.01294746499372,0,2.21,2.138,
3204,225.593306344736,66.8070085525086,2.21453887781929,-1.73908096595298,0.444192796945572,0.000395773095078766,0,-2.01294746499372,0,2.21,2.138,
3240,223.130602389563,66.1703383556088,2.21601045579714,-1.72103837827232,0.446397751569748,0.000396516115870327,0,-2.01294746499372,0,2.21,2.138,
3276,220.723993870489,65.549718150063,2.21744820498611,-1.70337361647985,0.448573738336563,0.000397243071347475,0,-2.01294746499372,0,2.21,2.138,
3312,218.371358570058,64.9444860592131,2.21885341283381,-1.68607316476338,0.450721502304077,0.000397954572690651,0,-2.01294746499372,0,2.21,2.138,
3348,216.070708110554,64.3540226875309,2.22022728551213,-1.66912433334779,0.452841818332672,0.000398651172872633,0,-2.01294746499372,0,2.21,2.138,
3384,213.820173782839,63.7777470001146,2.22157095649801,-1.65251517506737,0.454935401678085,0.000399333366658539,0,-2.01294746499372,0,2.21,2.138,
3420,211.617994726752,63.215112782351,2.22288549373527,-1.63623441473578,0.457002758979797,0.000400001707021147,0,-2.01294746499372,0,2.21,2.138,
3456,209.462507872143,62.6656055453662,2.22417190573319,-1.62027138767831,0.459044605493546,0.000400656601414084,0,-2.01294746499372,0,2.21,2.138,
3492,207.352139567987,62.1287398512289,2.22543114664702,-1.60461598767803,0.461061418056488,0.000401298486394808,0,-2.01294746499372,0,2.21,2.138,
3528,205.285397945961,61.6040569292139,2.22666412091119,-1.58925862087359,0.463053822517395,0.000401927798520774,0,-2.01294746499372,0,2.21,2.138,
3564,203.260866645493,61.0911225927862,2.22787168705255,-1.57419016539426,0.46502223610878,0.000402544945245609,0,-2.01294746499372,0,2.21,2.138,
3600,201.277199002492,60.589525372346,2.22905466122004,-1.55940193595394,0.46696725487709,0.000403150304919109,0,-2.01294746499372,0,2.21,2.138,
